City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
444,Nizwa,OM,84.56,clear sky,22.9333,57.5333,Orient Apartments
447,Alta Floresta,BR,73.22,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
448,Kangaba,ML,84.09,overcast clouds,11.9333,-8.4167,Hôtel Mandé
451,Carutapera,BR,76.68,clear sky,-1.195,-46.02,Lidera
455,Kloulklubed,PW,83.25,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
456,Axim,GH,79.88,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
457,Hami,CN,77.32,broken clouds,42.8,93.45,Laoyutang Resort
459,Port Blair,IN,84.9,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
462,Soe,ID,77.81,scattered clouds,-9.8607,124.28399999999999,Dena Hotel
463,Paka,MY,78.73,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA
464,Atar,MR,84.87,clear sky,20.5169,-13.0499,Oumou Elghoura
466,Qui Nhon,VN,87.96,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
468,Quatre Cocos,MU,71.1,light rain,-20.2078,57.7625,Veranda Palmar Beach Hotel
469,Nara,JP,70.5,light rain,34.6851,135.8049,Guesthouse Nara Komachi
474,Yazman,PK,83.98,clear sky,29.1212,71.7446,Jamal sons showroom
476,Biloela,AU,76.32,scattered clouds,-24.4167,150.5,Silo Motor Inn
479,Shenzhen,CN,89.85,overcast clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
480,San-Pedro,CI,78.03,overcast clouds,4.7485,-6.6363,Hotel Maria
483,Ewa Beach,US,81.99,few clouds,21.3156,-158.0072,Uncle Junior Robert
487,Harrison,US,75.25,overcast clouds,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
488,Laguna,US,76.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
491,Antsohihy,MG,71.15,clear sky,-14.8796,47.9875,Hotel de Ville
492,Chiang Klang,TH,79.93,overcast clouds,19.2938,100.8617,Sangthong Resort
493,Biltine,TD,84.33,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
495,Takoradi,GH,79.38,broken clouds,4.8845,-1.7554,Raybow International Hotel
499,Sao Jose Da Coroa Grande,BR,76.21,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
