City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Solnechnyy,RU,2021-05-15 19:31:16,50.7214,136.6319,44.53,81,64,6.58
113,Mantua,IT,2021-05-15 19:31:16,45.1667,10.7833,62.01,67,100,4.0
114,Vila Velha,BR,2021-05-15 19:31:16,-20.3297,-40.2925,77.0,69,75,9.22
115,Haines Junction,CA,2021-05-15 19:31:16,60.7522,-137.5108,41.0,81,100,3.44
116,Norman Wells,CA,2021-05-15 19:31:17,65.282,-126.8329,42.8,65,75,14.97
117,Namibe,AO,2021-05-15 19:31:17,-15.1961,12.1522,74.84,61,0,6.62
118,Victoria,HK,2021-05-15 19:31:17,22.2855,114.1577,84.99,81,57,1.01
119,Mount Gambier,AU,2021-05-15 19:31:17,-37.8333,140.7667,46.4,93,90,9.22
120,Ulladulla,AU,2021-05-15 19:31:18,-35.35,150.4667,45.0,65,4,10.36
121,Pacifica,US,2021-05-15 19:30:43,37.6138,-122.4869,55.4,71,90,10.36
122,Namatanai,PG,2021-05-15 19:31:18,-3.6667,152.4333,80.47,81,16,9.35
123,Bilma,NE,2021-05-15 19:31:18,18.6853,12.9164,95.97,7,0,8.21
124,Carballo,ES,2021-05-15 19:31:18,43.213,-8.691,62.01,94,100,5.01
125,Sawtell,AU,2021-05-15 19:31:19,-30.3833,153.1,51.8,50,1,10.36
126,Shingu,JP,2021-05-15 19:31:19,33.7333,135.9833,65.62,98,100,6.58
127,Honjo,JP,2021-05-15 19:31:19,36.2333,139.1833,61.0,88,100,2.35
128,Tiksi,RU,2021-05-15 19:31:19,71.6872,128.8694,31.73,93,99,4.52
129,Pisco,PE,2021-05-15 19:31:20,-13.7,-76.2167,66.99,82,75,9.22
130,Ostrovnoy,RU,2021-05-15 19:31:20,68.0531,39.5131,33.89,89,100,9.17
131,Xining,CN,2021-05-15 19:31:20,36.6167,101.7667,42.24,82,76,1.3
132,Mimongo,GA,2021-05-15 19:31:20,-1.6195,11.6068,71.85,94,100,1.86
133,Te Anau,NZ,2021-05-15 19:31:21,-45.4167,167.7167,42.08,96,99,0.65
134,Taman,RU,2021-05-15 19:31:21,45.2117,36.7161,62.6,67,0,2.24
135,Codrington,AU,2021-05-15 19:31:21,-38.2667,141.9667,49.89,85,100,8.46
