City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Yulara,AU,-25.2406,130.9889,64.24,22,100,8.05,overcast clouds
217,Hambantota,LK,6.1241,81.1185,80.94,79,40,14.97,scattered clouds
218,Bitung,ID,1.4451,125.1824,90.45,75,62,4.9,broken clouds
219,Makakilo City,US,21.3469,-158.0858,80.56,64,24,20.76,few clouds
220,Leningradskiy,RU,69.3833,178.4167,34.65,84,98,7.29,overcast clouds
221,Burnie,AU,-41.0667,145.9167,57.94,58,7,13.22,clear sky
222,Namibe,AO,-15.1961,12.1522,75.11,45,0,8.57,clear sky
223,Corinto,GR,37.9407,22.9573,69.76,69,100,3.0,overcast clouds
224,Lagoa,PT,39.05,-27.9833,59.2,85,100,15.88,overcast clouds
225,Karratha,AU,-20.7377,116.8463,81.75,22,2,14.67,clear sky
226,Wucheng,CN,29.6008,118.175,69.03,90,92,4.63,overcast clouds
227,Central Point,US,42.376,-122.9164,53.01,58,85,1.99,overcast clouds
228,Baiao,BR,-2.7906,-49.6717,74.25,95,68,0.72,broken clouds
229,Saskylakh,RU,71.9167,114.0833,28.24,89,100,10.02,overcast clouds
230,Naivasha,KE,-0.7167,36.4359,56.1,93,88,2.62,overcast clouds
231,Hokitika,NZ,-42.7167,170.9667,55.36,73,100,2.93,overcast clouds
232,Opuwo,NA,-18.0607,13.84,58.39,37,0,4.27,clear sky
233,Mecca,SA,21.4267,39.8261,85.15,19,56,4.23,broken clouds
234,Murray Bridge,AU,-35.1167,139.2667,70.32,27,100,3.2,overcast clouds
235,Dingle,PH,10.9995,122.6711,84.81,72,100,3.27,moderate rain
236,Kushmurun,KZ,52.4503,64.6311,60.21,51,19,5.79,few clouds
237,Nikolskoye,RU,59.7035,30.7861,57.4,91,98,5.75,overcast clouds
238,Moree,AU,-29.4667,149.85,68.02,49,1,6.91,clear sky
239,Ouesso,CG,1.6136,16.0517,71.06,93,23,1.66,light rain
240,Caravelas,BR,-17.7125,-39.2481,71.04,86,3,2.01,clear sky
241,Kamiichi,JP,36.7,137.3667,70.77,53,75,2.55,broken clouds
242,Boralday,KZ,43.3578,76.8594,71.46,50,40,8.1,scattered clouds
243,Lazaro Cardenas,MX,17.9583,-102.2,78.19,64,0,5.77,clear sky
244,Salalah,OM,17.0151,54.0924,80.91,82,59,1.39,broken clouds
245,Beira,MZ,-19.8436,34.8389,68.09,77,0,2.66,clear sky
246,Cherskiy,RU,68.75,161.3,46.02,53,88,6.51,overcast clouds
247,Gorontalo,ID,0.5412,123.0595,84.52,77,31,2.48,scattered clouds
248,Sisimiut,GL,66.9395,-53.6735,28.85,95,100,12.77,snow
249,Englewood,US,39.6478,-104.9878,68.86,42,100,10.47,overcast clouds
250,Bisert,RU,56.8617,59.0523,56.39,65,40,3.24,scattered clouds
251,Mersin,TR,36.862,34.6509,61.95,79,4,2.51,clear sky
252,Casper,US,42.8666,-106.3131,66.97,58,100,9.98,overcast clouds
253,Kenai,US,60.5544,-151.2583,49.03,79,100,8.23,overcast clouds
254,Kamakwie,SL,9.5,-12.2333,76.6,91,100,1.9,light rain
255,Los Lunas,US,34.8062,-106.7334,75.65,39,88,3.0,overcast clouds
256,Lavrentiya,RU,65.5833,-171.0,33.6,96,54,3.85,broken clouds
257,Port Lincoln,AU,-34.7333,135.8667,67.28,45,100,2.77,overcast clouds
258,Molochnoye,RU,59.2917,39.6787,59.34,91,66,8.48,broken clouds
259,Shimoda,JP,34.6667,138.95,76.15,84,100,7.29,heavy intensity rain
260,Jadu,LY,31.953,12.0261,60.57,64,72,7.31,broken clouds
261,Mareeba,AU,-17.0,145.4333,73.44,67,49,9.26,scattered clouds
262,Yerbogachen,RU,61.2767,108.0108,41.95,27,16,2.64,few clouds
263,Arlit,NE,18.7369,7.3853,89.87,11,0,10.31,clear sky
264,Margate,GB,51.3813,1.3862,49.03,82,98,1.99,overcast clouds
265,Tyret Pervaya,RU,53.6703,102.3106,41.29,92,100,8.68,overcast clouds
266,Aras,ES,42.5617,-2.356,41.05,75,0,3.04,clear sky
267,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,66.79,39,14,12.95,few clouds
268,Jawhar,SO,2.7809,45.5005,75.52,86,100,14.99,overcast clouds
269,Port Hedland,AU,-20.3167,118.5667,84.25,16,0,11.5,clear sky
270,Vao,NC,-22.6667,167.4833,73.4,77,26,18.34,scattered clouds
271,Altar,MX,30.7,-111.8167,91.6,13,2,16.8,clear sky
272,Tezu,IN,27.9167,96.1667,73.62,98,100,3.15,overcast clouds
273,Amapa,BR,1.0,-52.0,71.46,99,64,1.99,broken clouds
274,San Patricio,US,28.017,-97.5169,71.69,93,99,6.67,overcast clouds
275,Surt,LY,31.2089,16.5887,72.12,64,29,8.59,scattered clouds
276,Khuzdar,PK,27.7384,66.6434,76.32,21,0,5.26,clear sky
277,Pacific Grove,US,36.6177,-121.9166,63.61,74,0,5.99,clear sky
278,Copiapo,CL,-27.3667,-70.3333,55.09,78,100,2.19,overcast clouds
279,Nampula,MZ,-15.1165,39.2666,66.15,94,90,12.66,overcast clouds
280,Boa Vista,BR,2.8197,-60.6733,76.98,88,75,3.44,broken clouds
281,Hualmay,PE,-11.0964,-77.6139,63.27,88,23,9.44,few clouds
282,Kirakira,SB,-10.4544,161.9205,80.35,87,98,6.53,light rain
283,Kieta,PG,-6.2167,155.6333,85.24,70,99,4.79,light rain
284,Challapata,BO,-18.9,-66.7667,41.81,22,6,3.8,clear sky
285,North Bend,US,43.4065,-124.2243,55.17,69,40,18.41,scattered clouds
286,Nyurba,RU,63.2842,118.3319,46.22,24,2,5.95,clear sky
287,Bilma,NE,18.6853,12.9164,86.23,10,0,14.05,clear sky
288,Berlevag,NO,70.8578,29.0864,40.98,94,100,6.93,overcast clouds
289,Ploemeur,FR,47.7333,-3.4333,52.83,93,90,3.44,overcast clouds
290,Tiksi,RU,71.6872,128.8694,30.94,93,100,8.39,light snow
291,Pemberton,CA,50.3164,-122.8027,58.86,66,100,2.35,overcast clouds
292,Hofn,IS,64.2539,-15.2082,34.75,75,95,3.04,overcast clouds
293,Flinders,AU,-34.5833,150.8552,66.79,52,79,1.99,broken clouds
294,Avdon,RU,54.6667,55.7167,51.12,65,0,8.57,clear sky
295,Atchison,US,39.563,-95.1216,69.01,98,100,7.07,overcast clouds
296,Balykshi,KZ,47.0667,51.8667,71.6,37,40,22.37,scattered clouds
297,Tungor,RU,53.3808,142.9564,41.76,90,100,6.33,light rain
298,Topeka,US,39.0483,-95.678,68.58,92,90,3.44,moderate rain
299,Katsuura,JP,35.1333,140.3,70.23,86,100,7.56,moderate rain
300,La Ronge,CA,55.1001,-105.2842,30.45,55,90,10.36,overcast clouds
301,Coquimbo,CL,-29.9533,-71.3436,59.11,79,100,2.39,overcast clouds
302,Kununurra,AU,-15.7667,128.7333,85.98,30,7,9.22,clear sky
303,Kaeo,NZ,-35.1,173.7833,65.32,66,100,2.24,overcast clouds
304,Del Rio,US,29.3627,-100.8968,69.66,68,100,15.43,overcast clouds
305,Salihorsk,BY,52.7876,27.5415,48.22,92,100,14.9,overcast clouds
306,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,92,40,4.7,scattered clouds
307,Nouakchott,MR,18.0858,-15.9785,69.73,58,11,16.31,few clouds
308,Liepaja,LV,56.5419,21.0367,50.05,93,90,0.0,light rain
309,Newton,US,42.337,-71.2092,62.74,53,14,1.99,few clouds
310,Miraflores,MX,19.2167,-98.8083,71.87,61,12,6.85,few clouds
311,Cabedelo,BR,-6.9811,-34.8339,75.87,79,0,6.51,clear sky
